Compound,CAS,inchikey,CID,Pretty Name,LaTeX,Notes,Aroma,Chemical Family,Health,Group,RI Lab,RI Lit,Source
164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-31min,NA,NA,NA
176,NA,NA,NA,NA,NA,NA,NA,NA,NA,30-31min,NA,NA,NA
179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,NA,NA,NA,NA,NA,NA,NA,NA,NA,31-32min,NA,NA,NA
19 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Acetylfuran,1192-62-7,IEMMBWWQXVXBEU-UHFFFAOYSA-N,NA,2-Acetylfuran,NA,NA,"sweet, nutty, almond, cocoa, caramel, coffee",NA,NA,NA,NA,910,NIST
"2-Butenal, 3-methyl-",107-86-8,SEPQTYODOKLVSB-UHFFFAOYSA-N,NA,3-Methyl-2-butenal,NA,NA,"sweet, fruity, pungent, nutty, almond, cherry",NA,NA,NA,NA,NA,NA
2-Cyclohexen-1-ol,822-67-3,PQANGXXSEABURG-UHFFFAOYSA-N,NA,2-Cyclohexen-1-ol,NA,NA,NA,NA,NA,NA,NA,NA,NA
2-Cyclopenten-1-one,930-30-3,BZKFMUIJRXWWQK-UHFFFAOYSA-N,13588,Cyclopentenone,NA,NA,NA,Cyclic Ketone,NA,13-14min,NA,802,NIST
"2-Heptanone, 4-methyl-",6137-06-0,BIFPSSTVLFHHEI-UHFFFAOYSA-N,NA,4-Methyl-2-heptanone,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Heptanone, 4,6-dimethyl-",19549-80-5,YXFDTUKUWNQPFV-UHFFFAOYSA-N,NA,"4,6-Dimethylheptan-2-one",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2-Heptanone, 6-methyl-",928-68-7,DPLGXGDPPMLJHN-UHFFFAOYSA-N,13572,6-Methyl-2-heptanone,NA,NA,camphoreous,Aliphatic Ketone,NA,10-11min,NA,954,NIST
2-Hexanone,591-78-6,QQZOPKMRPOGIEB-UHFFFAOYSA-N,NA,2-Hexanone,NA,NA,"fruity, fungal, meaty, buttery",NA,NA,NA,NA,NA,NA
2-Methyl-1-undecanol,10522-26-6,FGZXHVORLPLICA-UHFFFAOYSA-N,66341,2-Methyl-1-undecanol,NA,NA,"balsamic, must, spice",Aliphatic alcohol,NA,NA,NA,NA,NA
2-Octanone,111-13-7,ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,8093,2-Octanone,NA,NA,"earthy, herbal, woody, soapy",Aliphatic Ketone,NA,11-12min,989,992,NIST
"2-Octen-1-ol, (E)-",18409-17-1,AYQPVPFZWIQERS-VOTSOKGWSA-N,5318599,(E)-2-Octen-1-ol,($\mathit{E}$)-2-Octen-1-ol,NA,"citrus, green, plastic, soap",Aliphatic alcohol,NA,19-20min,1068,1069,NIST
"2-Propenoic acid, butyl ester",141-32-2,CQEYYJKEWSMYFG-UHFFFAOYSA-N,8846,Butyl acrylate,NA,Butyl acrylate,NA,Aliphatic ester,NA,8-9 min,NA,902,NIST
"2-Pyrrolidinone, 1-methyl-",872-50-4,SECXISVLQFMRJM-UHFFFAOYSA-N,13387,1-Methylpyrrolidone,NA,NA,NA,Nitrogen,NA,21-22min,NA,1043,NIST
"2,4-Dimethyl-1-heptene",19549-87-2,ZGESSLXCFYCMLJ-UHFFFAOYSA-N,NA,"2,4-Dimethyl-1-heptene",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,5-Pyrrolidinedione, 1-ethyl-",2314-78-5,NA,NA,N-ethyl-Succinimide,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2(5H)-Furanone, 5-ethyl-",2407-43-4,JBFHTYHTHYHCDJ-UHFFFAOYSA-N,12756,5-Ethyl-2(5H)-furanone,NA,NA,spice,Oxygenated Heterocycle,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29.22 Tridecanal,10486-19-8,BGEHHAVMRVXCGR-UHFFFAOYSA-N,25311,n-Tridecanal,NA,NA,"floral, sweet, musty",Aliphatic Aldehyde,NA,NA,NA,1510,NIST
3 (DCSE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
